City,State,Country ,Item Description,Disposal Category,Disposal Instructions
Angers,Maine-et-Loire,France,organicwaste,Organic Waste,"Grass, faded flowers, branches ... That can produce a good amendment for your garden! In your compost bin or the recycling center, think about composting!"
Angers,Maine-et-Loire,France,otherhazardous,Other Hazardous ,"Your waste is recycled more than 90% ... and it contains hazardous substances to the environment. The outlets will take you. If not, drop it to the recycling center."
Angers,Maine-et-Loire,France,glass,Glass,"Good news, the glass is 100% recyclable and infinitely! Once sorted, your waste can be melted and used to make new bottles or glass jars."
Angers,Maine-et-Loire,France,aerosolcan,Aerosol Can,"Once sorted, your waste will be melted and used to make steel parts (trucks, auto parts ...) or packaging (cans)."
Angers,Maine-et-Loire,France,metalcan,Metal Can,"Once sorted, your waste will be melted and used to make steel parts (trucks, auto parts ...) or packaging (cans)."
Angers,Maine-et-Loire,France,aluminumfoil,Aluminum Foil,Your waste can not be recycled or reused. It will nevertheless be valued as energy.
Angers,Maine-et-Loire,France,metalcan,Metal Can,"Once sorted, your waste will be melted and used to make steel parts (trucks, auto parts ...) or packaging (cans)."
Angers,Maine-et-Loire,France,otherplastic,Other Plastic,"Once sorted, washed your waste will be transformed into granules and used in the manufacture of new objects (bottles cleaners, fleece, pipe, bin liners etc.)."
Angers,Maine-et-Loire,France,flexibleplastic,Felxible Plastic,"Once sorted, washed your waste will be transformed into granules and used in the manufacture of new objects (bottles cleaners, fleece, pipe, bin liners etc.)."
Angers,Maine-et-Loire,France,otherplastic,Other Plastic ,"Once sorted, washed your waste will be transformed into granules and used in the manufacture of new objects (bottles cleaners, fleece, pipe, bin liners etc.)."
Angers,Maine-et-Loire,France,flexibleplastic,Felxible Plastic,"Once sorted, washed your waste will be transformed into granules and used in the manufacture of new objects (bottles cleaners, fleece, pipe, bin liners etc.)."
Angers,Maine-et-Loire,France,otherplastic,Other Plastic,"Once sorted, washed your waste will be transformed into granules and used in the manufacture of new objects (bottles cleaners, fleece, pipe, bin liners etc.)."
Angers,Maine-et-Loire,France,flexibleplastic,Felxible Plastic,"Once sorted, washed your waste will be transformed into granules and used in the manufacture of new objects (bottles cleaners, fleece, pipe, bin liners etc.)."
Angers,Maine-et-Loire,France,textile ,Textile,"Several associations, as Apivet Emmaus, Ressourcerie of Rusks, can recover your shoes, clothing and accessories for reuse (provision for people in need, isolating processing ...)."
Angers,Maine-et-Loire,France,flexibleplastic,Felxible Plastic,"Once sorted, washed your waste will be transformed into granules and used in the manufacture of new objects (bottles cleaners, fleece, pipe, bin liners etc.)."
Angers,Maine-et-Loire,France,otherhazardous,Other Hazardous ,Your waste contains certain pollutants that must be treated with caution in order not to harm the environment. Return them to your pharmacist who will allow them to incorporate specific treatment circuit.
Angers,Maine-et-Loire,France,bulkyplastic,Bulky Rigid Plastic ,"Several local associations can recover to convey to those who need it. If it is really unusable, accompany him to the recycling center."
Angers,Maine-et-Loire,France,paper,Paper,"Once sorted, your waste will be converted into pulp and used in the manufacture of corrugated cardboard or newsprint ..."
Angers,Maine-et-Loire,France,cardboard,Cardboard,"Once sorted, your waste will be converted into pulp and used in the manufacture of corrugated cardboard or newsprint ..."
